match_id,date,season,matchday,home_team,away_team,home_goals,away_goals,venue,status
cpl::Football_Match::7e68584ebb7940a9ad5655efcaf03f4a,2025-06-14,2025,Matchday 11,HFX Wanderers,Cavalry,1,1,Wanderers Grounds,FINISHED
cpl::Football_Match::8f2204b3f0ac49d49413190d45220ec0,2025-06-14,2025,Matchday 11,Pacific,Inter Toronto,1,3,Starlight Stadium,FINISHED
cpl::Football_Match::8bbfd5e7008944b1a6cebcb5cadf939a,2025-06-15,2025,Matchday 11,Vancouver FC,Forge,0,2,Willoughby Community Park at the Langley Events Centre,FINISHED
cpl::Football_Match::77f3a00d48ed4708ae9f81dda54fd5d4,2025-06-15,2025,Matchday 11,Atlético Ottawa,Valour,3,0,TD Place Stadium,FINISHED
cpl::Football_Match::8f45627034b54826870e724c5e7c474f,2025-06-21,2025,Matchday 12,HFX Wanderers,Vancouver FC,1,0,Wanderers Grounds,FINISHED
cpl::Football_Match::9831a9c602194b0ea5d12d0c55676c5b,2025-06-22,2025,Matchday 12,Cavalry,Pacific,1,0,ATCO Field,FINISHED
cpl::Football_Match::5b4bc9e1d63d4d6bb266d64dc1affc6e,2025-06-22,2025,Matchday 12,Inter Toronto,Atlético Ottawa,0,0,York Lions Stadium,FINISHED
cpl::Football_Match::468fbffe9ea742b1a8a234fa51816114,2025-06-22,2025,Matchday 12,Valour,Forge,0,5,Princess Auto Stadium,FINISHED
cpl::Football_Match::e62711525fc14a54b9dc6622f46a9196,2025-06-28,2025,Matchday 13,Pacific,Vancouver FC,4,4,Starlight Stadium,FINISHED
cpl::Football_Match::23720325de0f47829a414cda9b9c1d83,2025-06-28,2025,Matchday 13,Cavalry,Atlético Ottawa,0,2,ATCO Field,FINISHED
cpl::Football_Match::39768efb99bb4e7e92b2e6d27cb22adc,2025-06-29,2025,Matchday 13,Forge,Inter Toronto,2,2,Hamilton Stadium,FINISHED
cpl::Football_Match::d7aecdb8fb6244b49c2f378d791a7b61,2025-07-01,2025,Matchday 13,HFX Wanderers,Valour,3,1,Wanderers Grounds,FINISHED
cpl::Football_Match::65a3384e77e0408182eea9f16c95a2f1,2025-07-05,2025,Matchday 14,Forge,Vancouver FC,2,1,Hamilton Stadium,FINISHED
cpl::Football_Match::4be7486a4a4e4247989f83e0c865f323,2025-07-12,2025,Matchday 14,Atlético Ottawa,Forge,1,1,TD Place Stadium,FINISHED
cpl::Football_Match::ad30f342a3ea4db58036ea912013ae74,2025-07-12,2025,Matchday 14,Pacific,HFX Wanderers,3,2,Starlight Stadium,FINISHED
cpl::Football_Match::2c3f94ebd3164841a740bc12e3dbfbb3,2025-07-13,2025,Matchday 14,Inter Toronto,Valour,3,2,York Lions Stadium,FINISHED
cpl::Football_Match::44a5285b5e1441038161fabd94a8e8a9,2025-07-14,2025,Matchday 14,Vancouver FC,Cavalry,0,0,Willoughby Community Park at the Langley Events Centre,FINISHED
cpl::Football_Match::1ed1b2546e7c4e9cad04082afe02338a,2025-07-18,2025,Matchday 15,Atlético Ottawa,HFX Wanderers,2,0,TD Place Stadium,FINISHED
cpl::Football_Match::78be7205bbd541ebb061d9c38ea38b6b,2025-07-18,2025,Matchday 15,Forge,Pacific,2,0,Hamilton Stadium,FINISHED
cpl::Football_Match::e911bf4ff447499e9913f6c6db529df6,2025-07-19,2025,Matchday 15,Inter Toronto,Vancouver FC,4,0,York Lions Stadium,FINISHED
cpl::Football_Match::1207c344e32244f381a4af0b7676935e,2025-07-20,2025,Matchday 15,Valour,Cavalry,1,2,Princess Auto Stadium,FINISHED
cpl::Football_Match::eda7d80cbe434205b34983e9caa60e0f,2025-07-25,2025,Matchday 16,HFX Wanderers,Forge,1,2,Wanderers Grounds,FINISHED
cpl::Football_Match::7ba79f89d2364b6ab19e6489232b21b4,2025-07-26,2025,Matchday 16,Vancouver FC,Valour,1,3,Willoughby Community Park at the Langley Events Centre,FINISHED
cpl::Football_Match::4bafd212788c4b23897e76b06b0dd77b,2025-07-26,2025,Matchday 16,Cavalry,Inter Toronto,0,1,ATCO Field,FINISHED
cpl::Football_Match::1bd83d3403634024be88175f9c6ecd07,2025-07-27,2025,Matchday 16,Pacific,Atlético Ottawa,0,2,Starlight Stadium,FINISHED
cpl::Football_Match::5fa0d5cf4eb744dca97cf87ce7eed373,2025-07-30,2025,Matchday 17,Valour,Cavalry,2,1,Princess Auto Stadium,FINISHED
cpl::Football_Match::e86b6940deef4493b7616a6fb52ce507,2025-08-02,2025,Matchday 17,Forge,Valour,5,0,Hamilton Stadium,FINISHED
cpl::Football_Match::202a2f50150243419685b0510f686cc4,2025-08-03,2025,Matchday 17,Atlético Ottawa,Inter Toronto,0,0,TD Place Stadium,FINISHED
cpl::Football_Match::b66ff45891ad4be6a4f78e7769cec914,2025-08-04,2025,Matchday 17,HFX Wanderers,Vancouver FC,1,2,Wanderers Grounds,FINISHED
cpl::Football_Match::7f75cbee65ce4217848adedb9e2f7ae9,2025-08-04,2025,Matchday 17,Pacific,Cavalry,1,0,Starlight Stadium,FINISHED
cpl::Football_Match::67c798f78dce4bd4b75194314fb6641e,2025-08-09,2025,Matchday 18,Inter Toronto,Forge,1,2,York Lions Stadium,FINISHED
cpl::Football_Match::4fdd301f24e349fbbca777b71d9a7d52,2025-08-09,2025,Matchday 18,Cavalry,HFX Wanderers,0,0,ATCO Field,FINISHED
cpl::Football_Match::e4f9f6a305b34950aa53a359b865dbc2,2025-08-10,2025,Matchday 18,Valour,Atlético Ottawa,1,2,Princess Auto Stadium,FINISHED
cpl::Football_Match::5386203224ba4824ac67d391e5ec09a9,2025-08-10,2025,Matchday 18,Vancouver FC,Pacific,2,3,Willoughby Community Park at the Langley Events Centre,FINISHED
cpl::Football_Match::b017032e619649718f7aee6cdbb87105,2025-08-16,2025,Matchday 19,Pacific,HFX Wanderers,2,2,Starlight Stadium,FINISHED
