date,season,home_team,away_team,home_goals,away_goals,venue
2025-09-01,2025,HFX Wanderers,Inter Toronto,4,0,Wanderers Grounds
2025-09-05,2025,Inter Toronto,Cavalry,3,1,York Lions Stadium
2025-09-06,2025,Forge,HFX Wanderers,1,0,Hamilton Stadium
2025-09-06,2025,Atlético Ottawa,Pacific,2,0,TD Place Stadium
2025-09-06,2025,Vancouver FC,Valour,2,5,Willoughby Community Park at the Langley Events Centre
2025-09-12,2025,Valour,Forge,2,1,Princess Auto Stadium
2025-09-13,2025,Cavalry,HFX Wanderers,3,1,ATCO Field
2025-09-13,2025,Pacific,Vancouver FC,1,1,Royal Athletic Park
2025-09-14,2025,Inter Toronto,Atlético Ottawa,2,2,York Lions Stadium
2025-09-20,2025,HFX Wanderers,Pacific,3,0,Wanderers Grounds
2025-09-20,2025,Cavalry,Valour,3,0,ATCO Field
2025-09-21,2025,Atlético Ottawa,Forge,1,1,TD Place Stadium
2025-09-21,2025,Vancouver FC,Inter Toronto,2,1,Willoughby Community Park at the Langley Events Centre
2025-09-27,2025,Atlético Ottawa,Cavalry,3,0,TD Place Stadium
2025-09-27,2025,Forge,Pacific,4,0,Hamilton Stadium
2025-09-28,2025,Inter Toronto,Valour,1,0,York Lions Stadium
2025-09-28,2025,Vancouver FC,HFX Wanderers,3,1,Willoughby Community Park at the Langley Events Centre
2025-10-04,2025,Forge,Vancouver FC,1,1,Hamilton Stadium
2025-10-04,2025,HFX Wanderers,Inter Toronto,1,1,Wanderers Grounds
2025-10-05,2025,Valour,Atlético Ottawa,3,3,Princess Auto Stadium
2025-10-05,2025,Pacific,Cavalry,3,3,Starlight Stadium
2025-10-09,2025,Inter Toronto,Pacific,2,2,York Lions Stadium
2025-10-11,2025,Cavalry,Forge,1,1,ATCO Field
2025-10-11,2025,Valour,HFX Wanderers,0,3,Princess Auto Stadium
2025-10-12,2025,Atlético Ottawa,Vancouver FC,0,0,TD Place Stadium
2025-10-18,2025,Pacific,Valour,1,4,Starlight Stadium
2025-10-18,2025,Vancouver FC,Cavalry,2,2,Willoughby Community Park at the Langley Events Centre
2025-10-18,2025,Forge,Inter Toronto,3,0,Hamilton Stadium
2025-10-18,2025,HFX Wanderers,Atlético Ottawa,0,1,Wanderers Grounds
2025-10-22,2025,HFX Wanderers,Inter Toronto,2,2,Wanderers Grounds
2025-10-26,2025,Forge,Atlético Ottawa,1,2,Hamilton Stadium
2025-10-26,2025,Cavalry,Inter Toronto,4,1,ATCO Field
2025-11-02,2025,Forge,Cavalry,0,1,Hamilton Stadium
2025-11-09,2025,Atlético Ottawa,Cavalry,2,1,TD Place Stadium
